variancia_ao_quadrado,curtose,beta
1.0883688573563048,0.10496907725298588,-1.4303744111129089
1.848584654635956,-0.08784020736640485,-1.8035358727911517
8.310732029735455,-1.0745995959807004,-2.7529968523227537
0.3079893898681411,-1.5134793882089765,-2.6537741326455566
15.76807490722479,-1.5184496094688211,-2.6311751360710436
0.5318353296065814,-1.010671191023886,0.07955930955984311
1.5630321818154342,-1.3953311781813746,-2.288878804117324
0.15268663443940259,0.3091725033160442,-2.5851599331788755
0.19426095526309686,-1.2866292384314846,-1.9924278972370948
11.21272145575828,-1.034968523418991,-1.6113848695653785
2.7402766165557026,-0.9298652644449219,-1.8144737782655356
1.7818363023098773,-0.46197172503448547,-1.1170088134367835
0.7717465348867348,0.1726017152747188,-1.960344976466058
4.3402373019131435,-0.9045121092236679,-0.46037063417914925
1.2663344766480067,-0.3125924082567195,-1.2856325529325596
1.145184431058707,-0.8503621402203763,-1.1236393822980044
5.342001317372289,-0.6707017835408902,-0.9592359459576323
0.9195429597432616,-0.3556941575586219,-1.6201606686181769
63.84048172645865,-1.253050394692583,-1.6251015102623805
43.566409993413835,-1.3870709615730556,-2.374359157478681
387.5264767632306,-1.3534980181871044,-1.5714275531151187
142.98913120423305,-1.3151355270338754,-1.7838508344658996
46.2172188737199,0.20742311565456006,-1.5412350632094354
204.50339058554013,-0.4517550322949968,-1.9809677630941551
163.95193004693405,-0.6753164543420027,-1.5086579300719933
121.08330357203893,-0.595366103409019,-1.8574279970928513
467.8228601856812,-0.25229728678948105,-1.891138549290409
828.2625851249948,-0.9852737580652686,-2.09869739376369
98.04783388040204,-0.8395471899284339,-1.6579760433963524
28.592025520667363,-0.5085027089662049,-1.5581245719847767
114.90220088269136,0.08505451152570886,-1.6186508943362141
10043.328386103505,-1.2195280550713268,-1.496223371769959
30498.202523698914,-1.507788177771628,-1.5639135459680662
166.98474510847112,-0.6379060043382561,-1.5869449421854962
292.10370682776175,-0.5724279129251904,-1.882714841679084
1016.6096104437704,-0.9762396786324161,-1.9551713884155124
29.173791898560125,0.2942944867713386,-1.5968364261761145
1389.0405502400931,-1.3410072722960094,-1.778876995598126
2811.12793761205,-0.8264472895462647,-2.091224974795623
3967.9135254793687,-0.2720515380578621,-1.9236239576112415
131168.9433023121,0.34870912173913604,-1.8969344390349074
